ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,"['ARENA', 'ARENA BİLGİSAYAR SANAYİ VE TİCARET']"
ARENA FİNANS FAKTORİNG A.Ş.,"['ARNFK', 'ARENA FİNANS FAKTORİNG']"
ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,"['ARSAN', 'ARSAN TEKSTİL']"
ARTEMİS HALI A.Ş.,"['ARTMS', 'ARTEMİS HALI', 'ARTEMİS']"
ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,"['ARZUM', 'ARZUM ELEKTRİKLİ EV ALETLERİ']"
ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['ASGYO', 'ASCE GAYRİMENKUL']"
ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,"['ASELS', 'ASELSAN ELEKTRONİK SANAYİ VE TİCARET', 'ASELSAN']"
ASTOR ENERJİ A.Ş.,"['ASTOR', 'ASTOR ENERJİ']"
ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['ATAGY', 'ATA GAYRİMENKUL']"
ATA YATIRIM MENKUL KIYMETLER A.Ş.,"['AT', 'ATAYM', 'ATA YATIRIM']"
ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,"['ATAKP', 'ATAKEY PATATES']"
ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['AGYO', 'ATAKULE GAYRİMENKUL']"
ATILIM FAKTORİNG A.Ş.,"['ATLFA', 'ATILIM FAKTORİNG']"
ATLANTİS YATIRIM HOLDİNG A.Ş.,"['ATSYH', 'ATLANTİS YATIRIM HOLDİNG']"
ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,"['ATLAS', 'ATLAS MENKUL KIYMETLER']"
ATP YAZILIM VE TEKNOLOJİ A.Ş.,"['ATATP', 'ATP YAZILIM VE TEKNOLOJİ', 'ATP']"
AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['AVGYO', 'AVRASYA GAYRİMENKUL']"
AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,"['AVTUR', 'AVRASYA PETROL VE TURİSTİK TESİSLER']"
AVRUPA YATIRIM HOLDİNG A.Ş.,"['AVHOL', 'AVRUPA YATIRIM HOLDİNG']"
AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['AVPGY', 'AVRUPAKENT GAYRİMENKUL']"
AYDEM YENİLENEBİLİR ENERJİ A.Ş.,"['AYDEM', 'AYDEM YENİLENEBİLİR ENERJİ']"
AYEN ENERJİ A.Ş.,"['AYEN', 'AYEN ENERJİ']"
AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,"['AYES', 'AYES ÇELİK HASIR VE ÇİT SANAYİ']"
AYGAZ A.Ş.,"['AYGAZ']"
AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,"['AZTEK', 'AZTEK TEKNOLOJİ']"
BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,"['BAGFS', 'BAGFAŞ BANDIRMA GÜBRE FABRİKALARI', 'BAGFAŞ']"
BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,"['BAKAB', 'BAK AMBALAJ']"
BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,"['BALAT', 'BALATCILAR']"
BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,"['BNTAS', 'BANTAŞ BANDIRMA AMBALAJ']"
BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,"['BANVT', 'BANVİT BANDIRMA']"
BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,"['BARMA', 'BAREM AMBALAJ']"
BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['BASGZ', 'BAŞKENT DOĞALGAZ DAĞITIM']"
BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,"['BASCM', 'BAŞTAŞ BAŞKENT ÇİMENTO']"
BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['BEGYO', 'BATI EGE GAYRİMENKUL']"
BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,"['BTCIM', 'BATIÇİM BATI ANADOLU ÇİMENTO']"
BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,"['BSOKE', 'BATISÖKE SÖKE ÇİMENTO']"
BAYDÖNER RESTORANLARI A.Ş.,"['BYDNR', 'BAYDÖNER']"
BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,"['BAYRK', 'BAYRAK EBT TABAN']"
BERA HOLDİNG A.Ş.,"['BERA', 'BERA HOLDİNG']"
BEREKET VARLIK KİRALAMA A.Ş.,"['BRKT', 'BEREKET VARLIK KİRALAMA']"
BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,"['BRKSN', 'BERKOSAN YALITIM VE TECRİT MADDELERİ']"
BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,"['BJKAS', 'BEŞİKTAŞ', 'BJK']"
BEYAZ FİLO OTO KİRALAMA A.Ş.,"['BEYAZ', 'BEYAZ FİLO OTO KİRALAMA']"
BİEN FİNANS FAKTORİNG A.Ş.,"['BIENF', 'BİEN FİNANS']"
BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,"['BIENY', 'BİEN YAPI', 'BİEN SERAMİK']"
BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,"['BLCYT', 'BİLİCİ YATIRIM']"
BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,"['BLKOM', 'BİLKOM BİLİŞİM HİZMETLERİ']"
BİM BİRLEŞİK MAĞAZALAR A.Ş.,"['BIMAS', 'BİM']"
BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,"['BIOEN', 'BİOTREND ENERJİ']"
BİRİKİM VARLIK YÖNETİM A.Ş.,"['BRKVY', 'BİRİKİM VARLIK YÖNETİM']"
BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,"['BRKO', 'BİRKO BİRLEŞİK KOYUNLULULAR']"
BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,"['BRLSM', 'BİRLEŞİM MÜHENDİSLİK']"
BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,"['BRMEN', 'BİRLİK MENSUCAT']"
BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,"['BIZIM', 'BİZİM TOPTAN']"
BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,"['BMSTL', 'BMS BİRLEŞİK METAL']"
BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,"['BMSCH', 'BMS ÇELİK HASIR']"
BNP PARIBAS ISSUANCE B.V.,"['BNPPI', 'BNP PARIBAS ISSUANCE']"
BNP PARİBAS FİNANSAL KİRALAMA A.Ş.,"['BNPFK', 'BNP PARİBAS FİNANSAL KİRALAMA']"
BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,"['BOBET', 'BOĞAZİÇİ BETON']"
BOR ŞEKER A.Ş.,"['BORSK', 'BOR ŞEKER']"
BORLEASE OTOMOTİV A.Ş.,"['BORLS', 'BORLEASE OTOMOTİV', 'BORLEASE']"
BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,"['BRSAN', 'BORUSAN BİRLEŞİK BORU FABRİKALARI']"
BORUSAN YATIRIM VE PAZARLAMA A.Ş.,"['BRYAT', 'BORUSAN YATIRIM']"
BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,"['BFREN', 'BOSCH FREN SİSTEMLERİ']"
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,"['BOSSA']"
BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,"['BRISA', 'BRİSA BRIDGESTONE']"
BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,"['BURCE', 'BURÇELİK BURSA ÇELİK DÖKÜM']"
BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,"['BURVA', 'BURÇELİK VANA']"
BURSA ÇİMENTO FABRİKASI A.Ş.,"['BUCIM', 'BURSA ÇİMENTO FABRİKASI', 'BURSA ÇİMENTO']"
BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,"['BVSAN', 'BÜLBÜLOĞLU VİNÇ']"
BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,"['BIGCH', 'BÜYÜK ŞEFLER', 'BIG CHEFS', 'BIGCHEFS', 'BIGCHEF']"
CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,"['CRFSA', 'CARREFOURSA', 'CARREFOUR']"
CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,"['CASA', 'CASA EMTİA']"
CEO EVENT MEDYA A.Ş.,"['CEOEM', 'CEO EVENT MEDYA']"
COCA-COLA İÇECEK A.Ş.,"['CCOLA', 'COCA-COLA İÇECEK', 'COCACOLA','KOLA', 'COCA COLA']"
CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,"['CONSE', 'CONSUS ENERJİ']"
COSMOS YATIRIM HOLDİNG A.Ş.,"['COSMO', 'COSMOS YATIRIM HOLDİNG']"
CREDITWEST FAKTORİNG A.Ş.,"['CRDFA', 'CREDITWEST FAKTORİNG']"
CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,"['CVKMD', 'CVK MADEN']"
CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,"['CWENE', 'CW ENERJİ']"
ÇAĞDAŞ FAKTORİNG A.Ş.,"['CAGFA', 'ÇAĞDAŞ FAKTORİNG']"
ÇALIK DENİM TEKSTİL SANAYİ VE TİCARET A.Ş.,"['CLDNM', 'ÇALIK DENİM']"
ÇAN2 TERMİK A.Ş.,"['CANTE', 'ÇAN2 TERMİK']"
ÇATES ELEKTRİK ÜRETİM A.Ş.,"['CATES', 'ÇATES ELEKTRİK ÜRETİM', 'ÇATALAĞZI TERMİK SANTRAL']"
ÇELEBİ HAVA SERVİSİ A.Ş.,"['CLEBI', 'ÇELEBİ']"
ÇELİK HALAT VE TEL SANAYİİ A.Ş.,"['CELHA', 'ÇELİK HALAT VE TEL']"
ÇELİK MOTOR TİCARET A.Ş.,"['CLKMT', 'ÇELİK MOTOR']"
ÇEMAŞ DÖKÜM SANAYİ A.Ş.,"['CEMAS', 'ÇEMAŞ DÖKÜM SANAYİ']"
ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,"['CEMTS', 'ÇEMTAŞ ÇELİK MAKİNA']"
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,"['CMBTN', 'ÇİMBETON']"
ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,"['CMENT', 'ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI', 'ÇİMENTAŞ']"
ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,"['CIMSA', 'ÇİMSA ÇİMENTO', 'ÇİMSA']"
ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,"['CUSAN', 'ÇUHADAROĞLU METAL']"
D YATIRIM BANKASI A.Ş.,"['DYBNK', 'D YATIRIM BANKASI', 'DOĞAN YATIRIM BANKASI', 'DY BANK']"
DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,"['DAGI', 'DAGİ GİYİM']"
DAGİ YATIRIM HOLDİNG A.Ş.,"['DAGHL', 'DAGİ YATIRIM HOLDİNG']"
DAP GAYRİMENKUL GELİŞTİRME A.Ş.,"['DAPGM', 'DAP GAYRİMENKUL']"
DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,"['DARDL', 'DARDANEL']"
DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,"['DGATE', 'DATAGATE']"
DEĞER VARLIK KİRALAMA A.Ş.,"['DGRVK', 'DEĞER VARLIK KİRALAMA']"
DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,"['DMSAS', 'DEMİSAŞ DÖKÜM']"
DENGE YATIRIM HOLDİNG A.Ş.,"['DENGE', 'DENGE YATIRIM HOLDİNG']"
DENİZ FAKTORİNG A.Ş.,"['DENFA', 'DENİZ FAKTORİNG']"
DENİZ FİNANSAL KİRALAMA A.Ş.,"['DNFIN', 'DENİZ FİNANSAL KİRALAMA']"
DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['DZGYO', 'DENİZ GAYRİMENKUL']"
DENİZ YATIRIM MENKUL KIYMETLER A.Ş.,"['DZ', 'DZYMK', 'DENİZ YATIRIM']"
DENİZBANK A.Ş.,"['DENI', 'DNZ', 'DENİZBANK']"
DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,"['DERIM', 'DERİMOD']"
DERLÜKS YATIRIM HOLDİNG A.Ş.,"['DERHL', 'DERLÜKS YATIRIM HOLDİNG']"
DESA DERİ SANAYİ VE TİCARET A.Ş.,"['DESA', 'DESA DERİ']"
DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,"['DESPC', 'DESPEC']"
DEVA HOLDİNG A.Ş.,"['DEVA', 'DEVA HOLDİNG']"
DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,"['DNISI', 'DİNAMİK ISI']"
DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,"['DIRIT', 'DİRİTEKS DİRİLİŞ TEKSTİL', 'DİRİTEKS']"
DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,"['DITAS', 'DİTAŞ DOĞAN YEDEK PARÇA', 'DİTAŞ']"
DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,"['DMRGD', 'DMR UNLU MAMULLER', 'DMR']"
DO & CO AKTIENGESELLSCHAFT,"['DOCO', 'DO & CO']"
DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,"['DOFER', 'DOFER YAPI MALZEMELERİ']"
DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,"['DOBUR', 'DOĞAN BURDA DERGİ']"
DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,"['DOHOL', 'DOĞAN HOLDİNG']"
DOĞAN TREND OTOMOTİV TİCARET HİZMET VE TEKNOLOJİ A.Ş.,"['DTRND', 'DOĞAN TREND OTOMOTİV']"
DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,"['DGNMO', 'DOĞANLAR MOBİLYA']"
DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,"['ARASE', 'DOĞU ARAS ENERJİ']"
DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,"['DOGUB', 'DOĞUSAN BORU']"
DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['DGGYO', 'DOĞUŞ GAYRİMENKUL']"
DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,"['DOAS', 'DOĞUŞ OTOMOTİV']"
DORUK FAKTORİNG A.Ş.,"['DFKTR', 'DORUK FAKTORİNG']"
DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,"['DOKTA', 'DÖKTAŞ DÖKÜMCÜLÜK', 'DÖKTAŞ']"
DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,"['DURDO', 'DURAN DOĞAN BASIM']"
DÜNYA VARLIK YÖNETİM A.Ş.,"['DNYVA', 'DÜNYA VARLIK YÖNETİM']"
DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,"['DYOBY', 'DYO BOYA', 'DYO']"
E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,"['EDATA', 'E-DATA TEKNOLOJİ']"
EBEBEK MAĞAZACILIK A.Ş.,"['EBEBK', 'EBEBEK']"
ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,"['ECZYT', 'ECZACIBAŞI YATIRIM HOLDİNG']"
EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,"['EDIP', 'EDİP GAYRİMENKUL']"
EGE ENDÜSTRİ VE TİCARET A.Ş.,"['EGEEN', 'EGE ENDÜSTRİ']"
EGE GÜBRE SANAYİİ A.Ş.,"['EGGUB', 'EGE GÜBRE']"
EGE PROFİL TİCARET VE SANAYİ A.Ş.,"['EGPRO', 'EGE PROFİL']"
EGE SERAMİK SANAYİ VE TİCARET A.Ş.,"['EGSER', 'EGE SERAMİK']"
EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,"['EPLAS', 'EGEPLAST']"
EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,"['ECILC', 'ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR']"
EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.,"['EKER', 'EKER SÜT']"
EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,"['EKIZ', 'EKİZ KİMYA']"
EKO FAKTORİNG A.Ş.,"['EKOFA', 'EKO FAKTORİNG']"
EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,"['EKOS', 'EKOS TEKNOLOJİ']"
EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK DEPOLAMA İNŞAAT TAAHHÜT SANAYİ VE TİCARET A.Ş.,"['EKOVR', 'EKOVAR']"
EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,"['EKSUN', 'EKSUN GIDA']"
ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,"['ELITE', 'ELİTE NATUREL']"
EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,"['EMKEL', 'EMEK ELEKTRİK']"
EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,"['EMNIS', 'EMİNİŞ AMBALAJ']"
EMİR VARLIK YÖNETİM A.Ş.,"['EMIRV', 'EMİR VARLIK YÖNETİM']"
EMLAK KATILIM VARLIK KİRALAMA A.Ş.,"['EKTVK', 'EMLAK KATILIM']"
EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['EKGYO', 'EMLAK KONUT']"
EMLAK VARLIK KİRALAMA A.Ş.,"['EMVAR', 'EMLAK VARLIK KİRALAMA']"
ENERJİSA ENERJİ A.Ş.,"['ENJSA', 'ENERJİSA']"
ENERYA ENERJİ A.Ş.,"['ENERY', 'ENERYA']"
ENKA İNŞAAT VE SANAYİ A.Ş.,"['ENKAI', 'ENKA İNŞAAT VE SANAYİ', 'ENKA']"
ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,"['ENSRI', 'ENSARİ DERİ']"
ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,"['ERBOS', 'ERBOSAN ERCİYAS BORU']"
ERCİYAS ÇELİK BORU SANAYİ A.Ş.,"['ERCB', 'ERCİYAS ÇELİK BORU']"
EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,"['EREGL', 'EREĞLİ DEMİR ÇELİK', 'EREĞLİ']"
